Name,Web_link,No_of_reviews,Ranking,No_of_bookingoptions
Rue des Francs Bourgeois,https://www.tripadvisor.com/Attraction_Review-g187147-d188468-Reviews-Rue_des_Francs_Bourgeois-Paris_Ile_de_France.html,60 reviews,#137 of 576 Sights & Landmarks in Paris,1 booking option
Equestrian Statue of Charlemagne,https://www.tripadvisor.com/Attraction_Review-g187147-d6078937-Reviews-Equestrian_Statue_of_Charlemagne-Paris_Ile_de_France.html,66 reviews,#142 of 576 Sights & Landmarks in Paris,
Place du Chatelet,https://www.tripadvisor.com/Attraction_Review-g187147-d8037628-Reviews-Place_du_Chatelet-Paris_Ile_de_France.html,74 reviews,#145 of 576 Sights & Landmarks in Paris,2 booking options
Rue de la Paix,https://www.tripadvisor.com/Attraction_Review-g187147-d208641-Reviews-Rue_de_la_Paix-Paris_Ile_de_France.html,57 reviews,#147 of 576 Sights & Landmarks in Paris,
Elysee Palace,https://www.tripadvisor.com/Attraction_Review-g187147-d592453-Reviews-Elysee_Palace-Paris_Ile_de_France.html,60 reviews,#148 of 576 Sights & Landmarks in Paris,1 booking option
Dalida Statue,https://www.tripadvisor.com/Attraction_Review-g187147-d6684564-Reviews-Dalida_Statue-Paris_Ile_de_France.html,52 reviews,#152 of 576 Sights & Landmarks in Paris,1 booking option
Theatre Comedie Caumartin,https://www.tripadvisor.com/Attraction_Review-g187147-d5018798-Reviews-Theatre_Comedie_Caumartin-Paris_Ile_de_France.html,49 reviews,#153 of 576 Sights & Landmarks in Paris,
Place Ste. Catherine,https://www.tripadvisor.com/Attraction_Review-g187147-d191144-Reviews-Place_Ste_Catherine-Paris_Ile_de_France.html,46 reviews,#154 of 576 Sights & Landmarks in Paris,
Porte Saint-Denis,https://www.tripadvisor.com/Attraction_Review-g187147-d7140059-Reviews-Porte_Saint_Denis-Paris_Ile_de_France.html,68 reviews,#157 of 576 Sights & Landmarks in Paris,
Port de l'Arsenal,https://www.tripadvisor.com/Attraction_Review-g187147-d6684565-Reviews-Port_de_l_Arsenal-Paris_Ile_de_France.html,48 reviews,#158 of 576 Sights & Landmarks in Paris,
Place des Victoires,https://www.tripadvisor.com/Attraction_Review-g187147-d208636-Reviews-Place_des_Victoires-Paris_Ile_de_France.html,66 reviews,#162 of 576 Sights & Landmarks in Paris,1 booking option
