Hotel_Name,Hotel_Web_Link,Cheapest_Provider,Price,Review_Count,Distance,Amenities_1,Amenities_2
Hotel Meslay Republique,https://www.tripadvisor.com/Hotel_Review-g187147-d233760-Reviews-Hotel_Meslay_Republique-Paris_Ile_de_France.html,Official Site,$92 ,291 reviews,0.9 miles,Free Wifi,Room Service
Paix Republique,https://www.tripadvisor.com/Hotel_Review-g187147-d233761-Reviews-Paix_Republique-Paris_Ile_de_France.html,Expedia.com,$91 ,117 reviews,0.9 miles,Free Wifi,
Le Mareuil,https://www.tripadvisor.com/Hotel_Review-g187147-d264828-Reviews-Le_Mareuil-Paris_Ile_de_France.html,Orbitz.com,$134 ,592 reviews,1.0 miles,Free Wifi,Room Service
Hotel Le Compostelle Le Marai,https://www.tripadvisor.com/Hotel_Review-g187147-d260562-Reviews-Hotel_Le_Compostelle_Le_Marai-Paris_Ile_de_France.html,Travelocity,$120 ,193 reviews,0.3 miles,Free Wifi,Room Service
Hotel Dupond-Smith,https://www.tripadvisor.com/Hotel_Review-g187147-d6617874-Reviews-Hotel_Dupond_Smith-Paris_Ile_de_France.html,Travelocity,$449 ,213 reviews,0.4 miles,Free Wifi,Room Service
Hotel Paris Rivoli,https://www.tripadvisor.com/Hotel_Review-g187147-d230461-Reviews-Hotel_Paris_Rivoli-Paris_Ile_de_France.html,Expedia.com,$115 ,465 reviews,0.4 miles,Free Wifi,
Relais Hotel du Vieux Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d242962-Reviews-Relais_Hotel_du_Vieux_Paris-Paris_Ile_de_France.html,Travelocity,$161 ,401 reviews,0.4 miles,Free Wifi,
Snob Hotel by Elegancia,https://www.tripadvisor.com/Hotel_Review-g187147-d11725503-Reviews-Snob_Hotel_by_Elegancia-Paris_Ile_de_France.html,Official Site,$203 ,159 reviews,0.4 miles,Free Wifi,Room Service
Tonic Hotel Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d233800-Reviews-Tonic_Hotel_Louvre-Paris_Ile_de_France.html,Expedia.com,$71 ,434 reviews,0.4 miles,Free Wifi,Room Service
Handsome Hotel by Elegancia,https://www.tripadvisor.com/Hotel_Review-g187147-d233510-Reviews-Handsome_Hotel_by_Elegancia-Paris_Ile_de_France.html,Official Site,$99 ,195 reviews,0.4 miles,Free Wifi,Breakfast included
Hotel Le Clos Notre-Dame,https://www.tripadvisor.com/Hotel_Review-g187147-d220007-Reviews-Hotel_Le_Clos_Notre_Dame-Paris_Ile_de_France.html,Hotwire.com,$145 ,158 reviews,0.4 miles,Free Wifi,
Hotel Saint-Louis en l'Isle,https://www.tripadvisor.com/Hotel_Review-g187147-d219996-Reviews-Hotel_Saint_Louis_en_l_Isle-Paris_Ile_de_France.html,Travelocity,$200 ,580 reviews,0.4 miles,Free Wifi,
Henri IV Rive Gauche Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d282186-Reviews-Henri_IV_Rive_Gauche_Hotel-Paris_Ile_de_France.html,Agoda.com,$154 ,585 reviews,0.4 miles,Free Wifi,Room Service
Hotel du Pont Neuf,https://www.tripadvisor.com/Hotel_Review-g187147-d650061-Reviews-Hotel_du_Pont_Neuf-Paris_Ile_de_France.html,Booking.com,$97 ,111 reviews,0.4 miles,Free Internet,
Hotel Europe Saint Severin,https://www.tripadvisor.com/Hotel_Review-g187147-d250927-Reviews-Hotel_Europe_Saint_Severin-Paris_Ile_de_France.html,Travelocity,$110 ,842 reviews,0.4 miles,Free Wifi,Restaurant
Hotel Royal Saint Michel,https://www.tripadvisor.com/Hotel_Review-g187147-d230462-Reviews-Hotel_Royal_Saint_Michel-Paris_Ile_de_France.html,Agoda.com,$135 ,597 reviews,0.4 miles,Free Wifi,Breakfast included
Les Degres de Notre Dame,https://www.tripadvisor.com/Hotel_Review-g187147-d239649-Reviews-Les_Degres_de_Notre_Dame-Paris_Ile_de_France.html,Booking.com,$97 ,210 reviews,0.4 miles,Free Wifi,Restaurant
